카테고리,Mac 단축키,설명
General,⌘0...⌘9,각 단축키에 해당하는 도구창 열기
General,⌘S,모두 저장
General,⌘⌥Y,IntelliJ가 파일 시스템에서 최신 변경 사항을 처리하도록 강제
General,⌘⇧F12,편집기 영역 최대로 토글
General,⌥⇧I,현재 프로필 기준으로 현재 파일 검사
General,⌃`,인텔리제이 테마 변경
General,"⌘ ,",설정창 열기
General,⌘ ;,프로젝트 구조창 열기
General,⌘⇧A,액션 검색 실행
General,⌘Z,Undo
General,⌘⇧Z,Redo
Debugging,F8 / F7,현재 브레이크된 라인에서 다음 라인으로 이동 / 실행하고 있는 메소드로 이동
Debugging,⇧F7 / ⇧F8,Smart step into / Step out
Debugging,⌥F9,포커스 되어있는 라인으로 이동
Debugging,⌥F8,브레이크된 라인에서 사용 가능한 모든 코드를 실행
Debugging,⌘⌥R,다음 브레이크 포인트로 이동
Debugging,⌘F8,Break Point 걸기
Debugging,⌘⇧F8,Break Point 보기
Search / Replace,Double⇧,전체 검색창 열기
Search / Replace,⌘F,현재 파일에서 문자열 검색
Search / Replace,⌘G / ⌘⇧G,검색된 문자열로 이전/이후 이동
Search / Replace,⌘R,현재 파일에서 문자열 대체
Search / Replace,⌘⇧F,전체에서 검색
Search / Replace,⌘⇧R,전체에서 교체
Search / Replace,⌃G,한 번 누를 때마다 다음 같은 단어가 하나씩 선택
Search / Replace,⌃⌘G,한 번에 모든 같은 단어 선택
Search / Replace,⌃G,선택 해제
Editing,⌃Space,기본 코드를 자동 완성
Editing,⌃⇧Space,소스코드를 분석해서 적합한 자동 완성 코드를 추천
Editing,⌘⇧↩︎,"문장 자동 완성(if문, for문 등)"
Editing,⌘P,커서가 위치한 메서드의 파라미터(매개변수) 조회
Editing,"⌘J, F1",도큐먼트를 조회
Editing,⇧F1,외부 도큐먼트 확인
Editing,⌘ + mouse,Brief info
Editing,⌘F1,Show descriptions of error at caret
